State/UTs,Total Cases,Active,Discharged,Deaths,Active Ratio,Discharge Ratio,Death Ratio,Population
Andaman and Nicobar,10039,0,9910,129,0,98.72,1.28,100896618
Andhra Pradesh,2319869,62,2305076,14731,0,99.36,0.63,128500364
Arunachal Pradesh,64504,1,64207,296,0,99.54,0.46,658019
Assam,724225,4,716235,7986,0,98.9,1.1,290492
Bihar,830702,43,818403,12256,0.01,98.52,1.48,40100376
Chandigarh,92293,67,91061,1165,0.07,98.67,1.26,79502477
Chhattisgarh,1152370,36,1138300,14034,0,98.78,1.22,28900667
Dadra and Nagar Haveli and Daman and Diu,11441,0,11437,4,0,99.97,0.03,231502578
Delhi,1903189,2138,1874851,26200,0.11,98.51,1.38,773997
Goa,245646,89,241725,3832,0.04,98.4,1.56,3772103
Gujarat,1224893,199,1213750,10944,0.02,99.09,0.89,70400153
Haryana,1000711,1247,988843,10621,0.12,98.81,1.06,14999397
Himachal Pradesh,285003,71,280796,4136,0.02,98.52,1.45,3436948
Jammu and Kashmir,454191,55,449384,4752,0.01,98.94,1.05,66001
Jharkhand,435309,22,429969,5318,0.01,98.77,1.22,124904071
Karnataka,3950378,1655,3908617,40106,0.04,98.94,1.02,1711947
Kerala,6550042,3799,6476700,69543,0.06,98.88,1.06,91702478
Ladakh,28260,4,28028,228,0.01,99.18,0.81,4184959
Lakshadweep,11402,0,11350,52,0,99.54,0.46,11700099
Madhya Pradesh,1042167,262,1031170,10735,0.03,98.94,1.03,7503010
Maharashtra,7882476,1828,7732792,147856,0.02,98.1,1.88,399001
Manipur,137230,0,135110,2120,0,98.46,1.54,47099270
Meghalaya,93821,1,92227,1593,0,98.3,1.7,30501026
Mizoram,228126,138,227290,698,0.06,99.63,0.31,1308967
Nagaland,35495,0,34735,760,0,97.86,2.14,38157311
Odisha,1288357,148,1279083,9126,0.01,99.28,0.71,19301096
Puducherry,165832,21,163849,1962,0.01,98.8,1.18,2073074
Punjab,760180,126,742303,17751,0.02,97.65,2.34,34698876
Rajasthan,1285113,478,1275081,9554,0.04,99.22,0.74,1521992
Sikkim,39165,4,38709,452,0.01,98.84,1.15,83697770
Tamil Nadu,3454847,321,3416501,38025,0.01,98.89,1.1,35998752
Telengana,792842,407,788324,4111,0.05,99.43,0.52,69599762
Tripura,100887,0,99964,923,0,99.09,0.91,1646050
Uttar Pradesh,2078519,874,2054127,23518,0.04,98.83,1.13,1158040
Uttarakhand,437789,477,429619,7693,0.11,98.13,1.76,85002417
West Bengal,2019058,378,1997477,21203,0.02,98.93,1.05,32199722
